iter	Passed	Remaining
0	93	46880
1	121	30363
2	145	24158
3	171	21228
4	200	19877
5	224	18456
6	249	17575
7	272	16781
8	295	16147
9	319	15649
10	344	15336
11	369	15029
12	392	14711
13	419	14578
14	450	14562
15	483	14622
16	515	14653
17	544	14572
18	573	14521
19	601	14434
20	628	14328
21	660	14342
22	692	14361
23	723	14356
24	749	14238
25	779	14212
26	809	14187
27	838	14127
28	866	14074
29	895	14031
30	922	13962
31	951	13915
32	979	13854
33	1001	13730
34	1028	13667
35	1061	13687
36	1088	13620
37	1116	13569
38	1140	13482
39	1168	13432
40	1191	13343
41	1218	13292
42	1247	13257
43	1277	13242
44	1300	13148
45	1323	13065
46	1351	13025
47	1377	12972
48	1404	12924
49	1426	12840
50	1456	12822
51	1497	12899
52	1534	12940
53	1557	12864
54	1580	12786
55	1608	12751
56	1630	12672
57	1658	12641
58	1681	12571
59	1710	12542
60	1733	12476
61	1755	12403
62	1782	12367
63	1809	12325
64	1835	12285
65	1863	12252
66	1891	12221
67	1918	12189
68	1944	12144
69	1967	12086
70	1994	12050
71	2015	11983
72	2040	11934
73	2067	11901
74	2096	11882
75	2123	11848
76	2147	11798
77	2175	11769
78	2199	11721
79	2226	11689
80	2255	11665
81	2283	11642
82	2313	11623
83	2342	11599
84	2369	11569
85	2395	11529
86	2420	11490
87	2448	11464
88	2478	11444
89	2502	11400
90	2527	11361
91	2552	11320
92	2576	11274
93	2600	11234
94	2629	11208
95	2655	11174
96	2680	11134
97	2703	11088
98	2733	11071
99	2765	11061
100	2792	11029
101	2818	10996
102	2841	10950
103	2864	10908
104	2890	10872
105	2915	10836
106	2938	10793
107	2965	10764
108	2991	10729
109	3017	10696
110	3040	10654
111	3066	10624
112	3093	10595
113	3122	10573
114	3146	10532
115	3170	10495
116	3198	10469
117	3225	10441
118	3251	10410
119	3278	10381
120	3302	10343
121	3329	10316
122	3355	10284
123	3381	10253
124	3415	10245
125	3439	10210
126	3467	10183
127	3492	10148
128	3520	10123
129	3549	10101
130	3573	10065
131	3603	10046
132	3634	10029
133	3661	10001
